Epoch,Case,Index,Value,Word,
Epoch 2," Highest"," Index: 5091"," Value: 1.344       "," Word: good",
Epoch 2," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 2," Highest"," Index: 11128"," Value: 1.125       "," Word: went",
Epoch 2," Highest"," Index: 4957"," Value: 1.115       "," Word: future",
Epoch 2," Highest"," Index: 7468"," Value: 1.081       "," Word: options",
Epoch 2," Highest"," Index: 4392"," Value: 1.076       "," Word: excellent",
Epoch 2," Highest"," Index: 6110"," Value: 1.063       "," Word: kid",
Epoch 2," Highest"," Index: 4365"," Value: 1.060       "," Word: every",
Epoch 2," Highest"," Index: 7693"," Value: 1.056       "," Word: past",
Epoch 2," Highest"," Index: 1551"," Value: 1.042       "," Word: angeles",
Epoch 2," Lowest"," Index: 5553"," Value: -2.085      "," Word: i",
Epoch 2," Lowest"," Index: 19"," Value: -1.913      "," Word: .",
Epoch 2," Lowest"," Index: 18"," Value: -1.752      "," Word: ",
Epoch 2," Lowest"," Index: 10317"," Value: -1.658      "," Word: to",
Epoch 2," Lowest"," Index: 7273"," Value: -1.350      "," Word: not",
Epoch 2," Lowest"," Index: 10180"," Value: -1.270      "," Word: that",
Epoch 2," Lowest"," Index: 11070"," Value: -1.140      "," Word: we",
Epoch 2," Lowest"," Index: 5946"," Value: -0.872      "," Word: it",
Epoch 2," Lowest"," Index: 1388"," Value: -0.763      "," Word: airline",
Epoch 2," Lowest"," Index: 5663"," Value: -0.698      "," Word: in",
Epoch 4," Highest"," Index: 5091"," Value: 1.744       "," Word: good",
Epoch 4," Highest"," Index: 4904"," Value: 1.431       "," Word: friendly",
Epoch 4," Highest"," Index: 4392"," Value: 1.426       "," Word: excellent",
Epoch 4," Highest"," Index: 11040"," Value: 1.377       "," Word: was",
Epoch 4," Highest"," Index: 2138"," Value: 1.367       "," Word: best",
Epoch 4," Highest"," Index: 4795"," Value: 1.285       "," Word: food",
Epoch 4," Highest"," Index: 10921"," Value: 1.194       "," Word: very",
Epoch 4," Highest"," Index: 7901"," Value: 1.175       "," Word: pleasant",
Epoch 4," Highest"," Index: 4957"," Value: 1.165       "," Word: future",
Epoch 4," Highest"," Index: 1492"," Value: 1.160       "," Word: although",
Epoch 4," Lowest"," Index: 10317"," Value: -2.258      "," Word: to",
Epoch 4," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 4," Lowest"," Index: 11070"," Value: -1.790      "," Word: we",
Epoch 4," Lowest"," Index: 19"," Value: -1.713      "," Word: .",
Epoch 4," Lowest"," Index: 10180"," Value: -1.670      "," Word: that",
Epoch 4," Lowest"," Index: 5663"," Value: -1.448      "," Word: in",
Epoch 4," Lowest"," Index: 10208"," Value: -1.310      "," Word: they",
Epoch 4," Lowest"," Index: 12"," Value: -1.243      "," Word: (",
Epoch 4," Lowest"," Index: 5214"," Value: -1.114      "," Word: had",
Epoch 4," Lowest"," Index: 18"," Value: -1.102      "," Word: ",
Epoch 6," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 6," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 6," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 6," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 6," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 6," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 6," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 6," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 6," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 6," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 6," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 6," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 6," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 6," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 6," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 6," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 6," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 6," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 6," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 6," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 8," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 8," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 8," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 8," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 8," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 8," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
Epoch 8," Highest"," Index: 1284"," Value: 1.364       "," Word: aeroflot",
Epoch 8," Highest"," Index: 7901"," Value: 1.275       "," Word: pleasant",
Epoch 8," Highest"," Index: 1545"," Value: 1.248       "," Word: and",
Epoch 8," Highest"," Index: 4957"," Value: 1.215       "," Word: future",
Epoch 8," Lowest"," Index: 10317"," Value: -2.458      "," Word: to",
Epoch 8," Lowest"," Index: 7273"," Value: -2.100      "," Word: not",
Epoch 8," Lowest"," Index: 11070"," Value: -1.890      "," Word: we",
Epoch 8," Lowest"," Index: 10180"," Value: -1.870      "," Word: that",
Epoch 8," Lowest"," Index: 5553"," Value: -1.735      "," Word: i",
Epoch 8," Lowest"," Index: 18"," Value: -1.352      "," Word: ",
Epoch 8," Lowest"," Index: 10208"," Value: -1.260      "," Word: they",
Epoch 8," Lowest"," Index: 5663"," Value: -1.248      "," Word: in",
Epoch 8," Lowest"," Index: 7220"," Value: -1.079      "," Word: no",
Epoch 8," Lowest"," Index: 19"," Value: -1.063      "," Word: .",
Epoch 10," Highest"," Index: 5091"," Value: 2.094       "," Word: good",
Epoch 10," Highest"," Index: 10921"," Value: 1.594       "," Word: very",
Epoch 10," Highest"," Index: 4904"," Value: 1.581       "," Word: friendly",
Epoch 10," Highest"," Index: 4392"," Value: 1.526       "," Word: excellent",
Epoch 10," Highest"," Index: 2138"," Value: 1.467       "," Word: best",
Epoch 10," Highest"," Index: 4795"," Value: 1.435       "," Word: food",
