0,0.6255,0.5775, 0.615
2,0.7605,0.7425, 0.75
4,0.7955,0.765, 0.765
6,0.808,0.785, 0.745
8,0.772,0.76, 0.745
10,0.841,0.81, 0.81
12,0.8525,0.83, 0.835
14,0.856,0.8525, 0.865
16,0.8595,0.855, 0.88
18,0.8695,0.835, 0.86
20,0.8995,0.8775, 0.895
22,0.916,0.88, 0.905
24,0.877,0.83, 0.82
26,0.855,0.8275, 0.825
28,0.93,0.8725, 0.89
30,0.9125,0.8625, 0.845
32,0.9285,0.9025, 0.88
34,0.929,0.9025, 0.905
36,0.8635,0.85, 0.84
38,0.9305,0.89, 0.9
40,0.9335,0.895, 0.88
42,0.934,0.8925, 0.93
44,0.912,0.885, 0.885
46,0.9345,0.8975, 0.92
48,0.9235,0.885, 0.875
50,0.9165,0.88, 0.865
52,0.9055,0.8675, 0.855
54,0.916,0.885, 0.85
56,0.933,0.9, 0.88
58,0.928,0.87, 0.88
60,0.951,0.905, 0.905
62,0.9555,0.91, 0.925
64,0.9535,0.9075, 0.95
66,0.9375,0.9, 0.905
68,0.9575,0.9125, 0.91
70,0.959,0.9125, 0.925
