Epoch,Training accuracy,Validation accuracy,Test accuracy
0,0.7635,0.72," 0.73"
1,0.774,0.7225," 0.73"
2,0.7555,0.7525," 0.77"
3,0.845,0.8575," 0.845"
4,0.883,0.8575," 0.84"
5,0.891,0.855," 0.86"
6,0.8895,0.8625," 0.835"
7,0.8995,0.8725," 0.84"
8,0.892,0.8525," 0.815"
9,0.8385,0.825," 0.805"
10,0.898,0.885," 0.865"
11,0.9055,0.8825," 0.88"
12,0.917,0.885," 0.865"
13,0.914,0.89," 0.87"
14,0.9025,0.895," 0.875"
15,0.893,0.8775," 0.83"
16,0.9265,0.88," 0.855"
17,0.9365,0.9175," 0.905"
18,0.905,0.885," 0.875"
19,0.9445,0.905," 0.885"
20,0.946,0.8975," 0.88"
21,0.939,0.89," 0.895"
22,0.9335,0.8975," 0.89"
23,0.9395,0.91," 0.87"
24,0.946,0.91," 0.87"
25,0.942,0.9," 0.87"
26,0.921,0.875," 0.86"
27,0.9445,0.895," 0.875"
28,0.9495,0.9075," 0.895"
29,0.95,0.905," 0.9"
30,0.943,0.895," 0.915"
31,0.9585,0.92," 0.92"
32,0.9235,0.875," 0.825"
33,0.955,0.925," 0.9"
34,0.954,0.915," 0.895"
35,0.9555,0.9125," 0.905"
36,0.9475,0.9075," 0.9"
37,0.965,0.92," 0.905"
38,0.9195,0.8775," 0.88"
39,0.95,0.915," 0.925"
40,0.9655,0.9125," 0.92"
41,0.909,0.84," 0.785"
42,0.9305,0.8825," 0.825"
43,0.96,0.8975," 0.885"
44,0.9635,0.905," 0.92"
45,0.9655,0.915," 0.915"
46,0.962,0.915," 0.92"
47,0.9635,0.9125," 0.905"
48,0.9615,0.915," 0.925"
49,0.9645,0.9," 0.9"
50,0.9575,0.8925," 0.86"
51,0.9695,0.92," 0.895"
52,0.9695,0.92," 0.895"
53,0.9585,0.9," 0.88"
54,0.843,0.82," 0.8"
55,0.92,0.875," 0.845"
56,0.97,0.92," 0.9"
57,0.965,0.915," 0.895"
58,0.973,0.9275," 0.915"
59,0.9745,0.92," 0.9"
60,0.958,0.8975," 0.865"
61,0.9745,0.9275," 0.92"
62,0.965,0.91," 0.895"
63,0.974,0.92," 0.905"
64,0.9755,0.9225," 0.905"
65,0.95,0.915," 0.9"
66,0.9755,0.9125," 0.915"
67,0.9695,0.91," 0.89"
68,0.959,0.9," 0.865"
69,0.9445,0.8825," 0.835"
70,0.964,0.9125," 0.875"
71,0.855,0.8375," 0.805"
72,0.976,0.915," 0.9"
73,0.977,0.9125," 0.89"
74,0.977,0.9125," 0.89"
75,0.964,0.9075," 0.875"
76,0.978,0.92," 0.895"
77,0.964,0.9025," 0.895"
78,0.967,0.905," 0.895"
79,0.9755,0.9275," 0.885"
80,0.9755,0.9275," 0.885"
81,0.9755,0.9275," 0.885"
82,0.9785,0.92," 0.89"
83,0.9805,0.92," 0.89"
84,0.913,0.825," 0.79"
85,0.978,0.915," 0.875"
86,0.9755,0.9125," 0.88"
87,0.9785,0.915," 0.885"
88,0.977,0.9225," 0.875"
89,0.96,0.905," 0.845"
90,0.9805,0.9175," 0.875"
91,0.955,0.9125," 0.895"
92,0.9825,0.9275," 0.9"
93,0.981,0.925," 0.9"
94,0.984,0.93," 0.895"
95,0.8705,0.8," 0.745"
96,0.9825,0.9175," 0.905"
97,0.973,0.93," 0.93"
98,0.978,0.925," 0.92"
99,0.978,0.925," 0.92"
100,0.978,0.925," 0.92"
101,0.969,0.91," 0.93"
102,0.9805,0.9275," 0.91"
103,0.9825,0.9375," 0.915"
104,0.963,0.89," 0.86"
105,0.9815,0.9325," 0.93"
106,0.9795,0.935," 0.925"
107,0.987,0.93," 0.915"
108,0.9825,0.93," 0.915"
109,0.9765,0.9075," 0.875"
110,0.983,0.925," 0.915"
111,0.9865,0.935," 0.915"
112,0.984,0.935," 0.92"
113,0.984,0.935," 0.92"
114,0.917,0.8675," 0.79"
115,0.974,0.9075," 0.855"
116,0.9825,0.925," 0.9"
117,0.9615,0.9025," 0.905"
118,0.9765,0.925," 0.92"
119,0.9875,0.9375," 0.915"
120,0.9875,0.9375," 0.915"
121,0.9515,0.88," 0.83"
122,0.9555,0.8875," 0.84"
123,0.9835,0.93," 0.88"
124,0.9835,0.93," 0.88"
125,0.9665,0.9175," 0.91"
126,0.985,0.93," 0.89"
127,0.985,0.94," 0.915"
128,0.982,0.9275," 0.905"
129,0.982,0.9275," 0.905"
130,0.988,0.94," 0.905"
131,0.988,0.94," 0.905"
132,0.988,0.94," 0.905"
133,0.988,0.94," 0.905"
134,0.9855,0.935," 0.92"
135,0.9885,0.9375," 0.915"
136,0.9705,0.91," 0.87"
137,0.985,0.93," 0.915"
138,0.985,0.93," 0.915"
139,0.985,0.93," 0.915"
140,0.9775,0.9225," 0.915"
141,0.985,0.935," 0.92"
142,0.981,0.9275," 0.93"
143,0.9885,0.95," 0.92"
144,0.988,0.945," 0.925"
145,0.959,0.875," 0.83"
146,0.985,0.9275," 0.905"
147,0.989,0.95," 0.925"
148,0.9895,0.945," 0.925"
149,0.9885,0.935," 0.91"
150,0.9905,0.935," 0.915"
151,0.9665,0.9275," 0.92"
152,0.99,0.9425," 0.92"
153,0.99,0.9425," 0.92"
154,0.991,0.935," 0.905"
155,0.991,0.935," 0.905"
156,0.991,0.935," 0.905"
157,0.9855,0.9475," 0.905"
158,0.9855,0.9475," 0.905"
159,0.9855,0.9475," 0.905"
160,0.9775,0.93," 0.905"
161,0.993,0.95," 0.91"
162,0.993,0.95," 0.91"
163,0.9625,0.92," 0.905"
164,0.9905,0.94," 0.93"
165,0.9905,0.94," 0.93"
166,0.9905,0.94," 0.93"
167,0.9905,0.94," 0.93"
168,0.99,0.94," 0.925"
169,0.9815,0.94," 0.93"
170,0.986,0.9425," 0.915"
171,0.9925,0.9475," 0.92"
172,0.9925,0.9475," 0.92"
173,0.993,0.945," 0.925"
174,0.9895,0.93," 0.905"
175,0.9895,0.93," 0.905"
176,0.99,0.9475," 0.93"
177,0.996,0.95," 0.92"
178,0.996,0.95," 0.92"
179,0.9825,0.9275," 0.865"
180,0.9825,0.9275," 0.865"
181,0.9845,0.9475," 0.925"
182,0.9845,0.9475," 0.925"
183,0.9875,0.9475," 0.93"
184,0.991,0.935," 0.91"
185,0.9925,0.945," 0.925"
186,0.993,0.9325," 0.905"
187,0.993,0.9325," 0.905"
188,0.963,0.9075," 0.92"
189,0.9685,0.9075," 0.865"
190,0.983,0.9375," 0.91"
191,0.9945,0.9425," 0.935"
192,0.9945,0.9425," 0.935"
193,0.9675,0.915," 0.905"
194,0.9945,0.9375," 0.915"
195,0.9945,0.9375," 0.915"
196,0.976,0.8975," 0.855"
197,0.9635,0.9025," 0.865"
198,0.9855,0.9375," 0.92"
199,0.982,0.93," 0.925"
200,0.9885,0.9325," 0.92"
201,0.987,0.94," 0.93"
202,0.987,0.94," 0.93"
203,0.987,0.94," 0.93"
204,0.987,0.94," 0.93"
205,0.987,0.95," 0.935"
206,0.989,0.925," 0.91"
207,0.9935,0.95," 0.925"
208,0.9935,0.95," 0.925"
209,0.996,0.945," 0.92"
210,0.996,0.945," 0.92"
211,0.996,0.945," 0.92"
212,0.996,0.945," 0.92"
213,0.9945,0.94," 0.91"
214,0.9945,0.94," 0.91"
215,0.9945,0.94," 0.91"
216,0.9945,0.94," 0.91"
217,0.9855,0.92," 0.905"
